slice_id,target,shot,method,method_label,cities_count,positive_city_count,negative_city_count,positive_negative_cities,negative_r2_ratio,mean_r2,mean_rmse,mean_mae,mean_eval_count
scale122,intersection_nodes,5,pooled_ridge,Pooled ridge,118,53,65,53/65,0.5508474576271186,-1.7333097761052696,12.662083383585307,9.045706387658273,65.83898305084746
scale122,intersection_nodes,5,source_only_ridge,Source-only ridge,118,53,65,53/65,0.5508474576271186,-1.7391866907094087,12.673903182290623,9.055810642701326,65.83898305084746
scale122,intersection_nodes,5,tabular_knn,Tabular kNN,118,91,27,91/27,0.2288135593220339,0.17176945974045063,9.921179335453171,6.510563113291705,65.83898305084746
scale122,intersection_nodes,5,target_only_ridge,Target-only ridge,118,73,45,73/45,0.3813559322033898,-0.06771502818882216,11.364415719974497,7.75651181478428,65.83898305084746
scale122,intersection_nodes,10,coral_ridge,CORAL ridge,118,31,87,31/87,0.7372881355932204,-27.324369655732607,20.254595789952287,14.977625490873496,60.83898305084746
scale122,intersection_nodes,10,iw_ridge,Importance-weighted ridge,118,73,45,73/45,0.3813559322033898,-0.8877366492939852,11.099044701683821,7.808659298365071,60.83898305084746
scale122,intersection_nodes,10,pooled_ridge,Pooled ridge,118,51,67,51/67,0.5677966101694916,-2.101072032082051,12.583911358466803,9.041921588949862,60.83898305084746
scale122,intersection_nodes,10,source_only_ridge,Source-only ridge,118,51,67,51/67,0.5677966101694916,-2.114589128403931,12.60689033053277,9.061937773790007,60.83898305084746
scale122,intersection_nodes,10,tabular_knn,Tabular kNN,118,88,30,88/30,0.2542372881355932,0.10077242515153659,9.780754849986966,6.48186911487759,60.83898305084746
scale122,intersection_nodes,10,target_only_ridge,Target-only ridge,118,84,34,84/34,0.288135593220339,-0.12682010434232796,10.429542933665257,7.17128906516029,60.83898305084746
scale122,road_segments,0,coral_ridge,CORAL ridge,118,38,80,38/80,0.6779661016949152,-4.508794762257809,374.8792634316292,293.5775352126975,70.83898305084746
scale122,road_segments,0,iw_ridge,Importance-weighted ridge,118,82,36,82/36,0.3050847457627119,0.09539482466313083,223.27476239511628,164.02399083784707,70.83898305084746
scale122,road_segments,0,pooled_ridge,Pooled ridge,118,77,41,77/41,0.3474576271186441,-0.12500249077833214,236.61432651870905,176.05784460761282,70.83898305084746
scale122,road_segments,0,source_only_ridge,Source-only ridge,118,77,41,77/41,0.3474576271186441,-0.12500249077833214,236.61432651870905,176.05784460761282,70.83898305084746
scale122,road_segments,0,tabular_knn,Tabular kNN,118,78,40,78/40,0.3389830508474576,0.004763188221947378,241.37877976534173,168.93897769848348,70.83898305084746
scale122,road_segments,1,coral_ridge,CORAL ridge,118,37,81,37/81,0.6864406779661016,-4.551500442939915,375.0604853026703,293.82257951015487,69.83898305084746
scale122,road_segments,1,iw_ridge,Importance-weighted ridge,118,82,36,82/36,0.3050847457627119,0.09578103348505321,223.3439017419096,164.15763986082015,69.83898305084746
scale122,road_segments,1,pooled_ridge,Pooled ridge,118,77,41,77/41,0.3474576271186441,-0.1267046315997832,236.8377718671213,176.32593317660684,69.83898305084746
scale122,road_segments,1,source_only_ridge,Source-only ridge,118,77,41,77/41,0.3474576271186441,-0.12718001795177994,236.87504416547702,176.3581540709333,69.83898305084746
scale122,road_segments,1,tabular_knn,Tabular kNN,118,77,41,77/41,0.3474576271186441,0.006524428456283674,241.6004906557713,169.14838359058922,69.83898305084746
scale122,road_segments,1,target_only_ridge,Target-only ridge,118,0,118,0/118,1.0,-1.2027089512720852,384.18813215797513,304.8857911744564,69.83898305084746
scale122,road_segments,5,coral_ridge,CORAL ridge,118,36,82,36/82,0.6949152542372882,-4.5696379683466954,373.96082214815084,293.59084994647696,65.83898305084746
scale122,road_segments,5,iw_ridge,Importance-weighted ridge,118,82,36,82/36,0.3050847457627119,0.08383123611629242,222.63984614795663,163.98393576904024,65.83898305084746
scale122,road_segments,5,pooled_ridge,Pooled ridge,118,73,45,73/45,0.3813559322033898,-0.1518483354855451,236.7687630912522,176.71912961710242,65.83898305084746
scale122,road_segments,5,source_only_ridge,Source-only ridge,118,73,45,73/45,0.3813559322033898,-0.15431477765939053,236.96876175658255,176.89455110482683,65.83898305084746
scale122,road_segments,5,tabular_knn,Tabular kNN,118,76,42,76/42,0.3559322033898305,-0.0013377374792361402,240.36946302824302,168.7462119281254,65.83898305084746
scale122,road_segments,5,target_only_ridge,Target-only ridge,118,63,55,63/55,0.4661016949152542,-0.09299976006242869,256.9720868370007,186.022573384678,65.83898305084746
scale122,road_segments,10,coral_ridge,CORAL ridge,118,33,85,33/85,0.7203389830508474,-4.747780049835581,373.0126257283571,294.03593038522627,60.83898305084746
scale122,road_segments,10,iw_ridge,Importance-weighted ridge,118,82,36,82/36,0.3050847457627119,0.05422552440057126,221.12846910711426,163.6207029871171,60.83898305084746
scale122,road_segments,10,pooled_ridge,Pooled ridge,118,73,45,73/45,0.3813559322033898,-0.20130569932284642,236.14515644192784,176.96227644871115,60.83898305084746
scale122,road_segments,10,source_only_ridge,Source-only ridge,118,73,45,73/45,0.3813559322033898,-0.20658702008130522,236.55117466121882,177.3258889680809,60.83898305084746
scale122,road_segments,10,tabular_knn,Tabular kNN,118,79,39,79/39,0.3305084745762712,-0.015554327505554947,238.24588848465643,167.8318997175141,60.83898305084746
scale122,road_segments,10,target_only_ridge,Target-only ridge,118,86,32,86/32,0.2711864406779661,0.13718217134717095,228.79859606183527,165.35325222544967,60.83898305084746
