city,country,road_count,road_length_km,road_density,primary_roads,secondary_roads,residential_roads,tertiary_roads,intersection_count,intersection_density,avg_degree,connectivity_index,circuity,num_nodes,num_edges,poi_count,poi_diversity,poi_density,poi_types,poi_food,poi_education,poi_health,poi_retail,poi_finance,poi_transport,landuse_count,landuse_diversity,landuse_mix,landuse_types,residential_area,commercial_area,industrial_area,green_area,building_count,building_density,residential_buildings,commercial_buildings,industrial_buildings
Dakar,Senegal,36728,8274.3,5.1714,405,350,27660,903,6539,4.0869,1.49,1.215,1.156,136151,165486,9810,3.925,6.1312,231,958,593,560,623,487,128,1002,2.7337,0.7888,32,77,16,64,83,91753,57.3456,446,92,45
Cape Town,South Africa,117802,38605.95,24.1287,3491,4341,30555,4285,25140,15.7125,1.25,1.087,1.194,710081,771889,9141,3.7421,5.7131,230,1378,120,175,517,276,221,4907,2.2281,0.5924,43,1534,140,155,1209,128422,80.2638,5740,884,1216
Johannesburg,South Africa,130299,41959.9,26.2249,3914,6812,51129,5926,27670,17.2937,1.25,1.08,1.203,777252,839195,8177,4.0082,5.1106,233,1554,332,276,962,381,327,2571,2.2166,0.6286,34,744,148,193,707,47052,29.4075,1770,630,824
Khartoum,Sudan,74352,21700.4,13.5627,199,367,66180,1138,14331,8.9569,1.46,1.247,1.129,348004,434008,7111,3.2302,4.4444,162,1037,309,873,1094,389,106,1498,1.4961,0.4539,27,990,18,41,72,657163,410.7269,60,109,66
Tunis,Tunisia,59351,18992.6,11.8704,424,1047,38525,1909,8914,5.5713,1.3,1.122,1.181,338488,379803,9003,4.0337,5.6269,229,2121,190,393,824,489,126,5155,2.4284,0.7072,31,632,100,320,414,80661,50.4131,14786,175,149
Kampala,Uganda,63111,26683.85,16.6774,356,391,36558,638,6073,3.7956,1.15,1.029,1.235,518722,533640,19669,3.5488,12.2931,255,1183,1803,1612,952,689,179,10385,1.8902,0.5026,43,4267,995,343,1440,1059263,662.0394,40873,3782,734
Beijing,China,499,191.8,0.1199,23,28,59,83,70,0.0437,1.16,1.023,1.25,3750,3836,67,3.0262,0.0419,28,16,7,2,5,5,10,97,2.066,0.8055,13,35,10,8,20,319,0.1994,28,11,2
Changchun,China,20622,7037.7,4.3986,742,1014,3368,1972,2683,1.6769,1.31,1.146,1.178,122788,140724,935,3.6748,0.5844,89,219,38,26,110,99,36,3382,1.956,0.587,28,1233,109,384,1078,11499,7.1869,3066,134,151
Changsha,China,23271,11493.4,7.1834,1582,1601,5719,2288,3234,2.0213,1.21,1.101,1.185,208756,229843,2376,3.6829,1.485,139,619,85,105,359,109,97,9075,1.7069,0.5179,27,4600,690,1246,485,30090,18.8062,4846,433,456
Chengdu,China,46229,16606.4,10.379,1685,2256,6781,4236,7003,4.3769,1.27,1.112,1.186,298503,331986,9297,3.7269,5.8106,184,2146,122,296,990,398,118,8601,1.8984,0.5582,30,3852,997,1198,880,74071,46.2944,1702,1655,1689
Dalian,China,18216,6400.9,4.0006,798,778,4676,1083,3166,1.9788,1.25,1.097,1.2,116622,127927,1099,3.4826,0.6869,108,394,43,27,120,68,75,1146,1.9981,0.6287,24,411,37,126,361,22808,14.255,253,139,44
Dongguan,China,27430,9887.55,6.1797,2077,2697,5088,4175,5496,3.435,1.25,1.096,1.186,180344,197734,561,3.4781,0.3506,72,134,6,5,62,29,50,1938,1.7064,0.5121,28,929,121,456,182,11264,7.04,825,94,400
Harbin,China,16700,5834.85,3.6468,877,1513,1673,1708,2624,1.64,1.31,1.141,1.177,102170,116575,1222,3.6009,0.7638,109,347,23,20,127,48,87,5523,1.9356,0.5637,31,2337,491,802,1043,23563,14.7269,332,143,331
Hefei,China,21343,8022.25,5.0139,1653,1078,2657,2963,3060,1.9125,1.3,1.149,1.174,139399,160173,1041,3.7263,0.6506,94,207,52,25,72,87,30,8206,1.6379,0.4915,28,3119,1751,2001,651,8774,5.4837,692,653,767
HongKong,China,750,265.35,0.1658,0,26,21,19,104,0.065,1.19,1.044,1.215,5081,5307,163,3.5038,0.1019,57,20,6,0,11,4,14,52,1.2702,0.5516,10,35,0,4,1,253,0.1581,0,1,0
Kunming,China,37628,17839.7,11.1498,1348,1971,3895,2750,6764,4.2275,1.17,1.06,1.194,336617,356734,5201,4.0508,3.2506,210,1089,68,230,343,262,87,5412,2.1423,0.6127,33,2292,239,426,985,10678,6.6738,414,503,188
Lanzhou,China,21150,7613.85,4.7587,695,741,3475,980,3326,2.0787,1.21,1.061,1.211,143522,152223,2919,3.5598,1.8244,123,514,83,144,295,352,81,2988,2.0239,0.6212,26,1336,100,343,212,30683,19.1769,143,158,1048
Lhasa,China,4661,2013.05,1.2582,106,221,615,329,587,0.3669,1.2,1.072,1.205,37455,40160,189,2.8916,0.1181,37,40,8,5,8,10,4,681,2.1388,0.6565,26,207,29,115,89,3760,2.35,12,5,14
Shanghai,China,659,191.9,0.1199,74,67,68,61,125,0.0781,1.23,1.052,1.246,3644,3834,143,2.9664,0.0894,36,39,27,1,16,18,10,143,1.0846,0.4936,9,103,15,0,7,624,0.39,44,73,1
Shenyang,China,15757,5618.8,3.5118,707,1008,2723,2181,2423,1.5144,1.3,1.138,1.177,98652,112304,1123,3.6144,0.7019,88,225,45,23,78,49,39,4769,1.7974,0.5517,26,1852,424,1006,1084,8152,5.095,702,67,90
Shijiazhuang,China,13718,5075.7,3.1723,520,1058,1808,1139,1595,0.9969,1.27,1.121,1.186,90544,101508,565,3.5451,0.3531,77,123,21,21,57,29,17,1893,1.8076,0.5765,23,900,224,196,315,5198,3.2487,114,116,162
Suzhou,China,38279,11542.4,7.214,4447,4132,4881,4847,5546,3.4663,1.29,1.105,1.19,208865,230696,1772,3.6244,1.1075,113,478,25,15,136,73,98,7260,1.7388,0.5218,28,3190,851,1426,820,33430,20.8938,1771,94,44
Taiyuan,China,19317,8048.45,5.0303,948,1577,3415,1710,2956,1.8475,1.21,1.082,1.194,148668,160833,806,3.7067,0.5038,76,143,59,18,54,31,22,1307,1.9731,0.613,25,585,33,121,236,8972,5.6075,2305,52,298
Urumqi,China,12158,4368.65,2.7304,674,767,2845,1180,1992,1.245,1.26,1.11,1.195,78693,87369,733,3.3834,0.4581,72,59,11,25,63,52,48,2130,2.1811,0.6546,28,742,49,467,160,21130,13.2063,451,26,302
Xi'an,China,32710,13913.3,8.6958,1313,1695,4831,3487,7600,4.75,1.31,1.131,1.18,237882,269053,3882,3.5148,2.4263,138,1067,47,42,358,582,112,18156,2.2671,0.6484,33,2995,260,699,6351,132817,83.0106,5885,280,560
Tokyo,Japan,1786,628.1,0.3926,26,19,329,104,404,0.2525,1.28,1.108,1.212,11208,12419,519,3.5057,0.3244,80,61,30,20,35,0,80,51,2.2329,0.8461,14,5,0,2,22,5551,3.4694,76,5,6
Busan,South Korea,53218,19582.35,12.239,669,2658,13716,2029,11454,7.1588,1.23,1.087,1.194,360258,391470,11162,3.5591,6.9763,190,2937,533,986,1257,410,193,3472,1.8604,0.5276,34,1674,93,159,848,46991,29.3694,1184,2286,2031
Seoul,South Korea,855,372.15,0.2326,40,25,236,25,140,0.0875,1.17,1.049,1.226,7095,7442,673,2.9574,0.4206,60,201,21,9,38,13,41,68,1.9698,0.768,13,25,1,3,22,1929,1.2056,185,149,6
Vienna,Austria,211841,49583.05,30.9894,5452,5549,25622,4934,44478,27.7987,1.37,1.127,1.19,878972,990662,88632,3.4875,55.395,459,7088,1194,1993,1694,962,606,42939,1.9408,0.4843,55,1600,414,784,25872,404456,252.785,10635,1074,1620
Brussels,Belgium,222408,53207.0,33.2544,4267,5089,34992,9171,47439,29.6494,1.34,1.107,1.192,960630,1063560,62354,3.5317,38.9712,412,6442,451,1269,1610,588,298,62358,1.9491,0.5062,47,19926,560,664,19463,811640,507.275,4731,1094,2958
Prague,Czech Republic,218030,50210.05,31.3813,1275,6438,28489,8026,48296,30.185,1.37,1.124,1.191,892573,1003435,62276,3.3269,38.9225,368,6083,655,686,1536,948,280,41577,2.1415,0.5562,47,3645,640,1301,15087,348132,217.5825,83034,1740,5662
Copenhagen,Denmark,155589,33359.6,20.8497,909,1169,18864,8442,25513,15.9456,1.41,1.142,1.2,584005,666984,32514,3.554,20.3212,356,5020,334,250,1057,232,526,12854,2.0571,0.5436,44,711,57,190,7655,368158,230.0987,1620,342,984
Helsinki,Finland,298902,69983.65,43.7398,4755,7555,17033,6945,60707,37.9419,1.37,1.13,1.204,1235336,1395403,38405,3.489,24.0031,423,3364,404,265,614,218,746,50298,1.6658,0.4303,48,10598,783,761,29944,181873,113.6706,18021,445,1345
Paris,France,3075,759.9,0.4749,55,63,318,47,673,0.4206,1.34,1.108,1.213,13611,15076,2436,4.0352,1.5225,177,426,65,58,64,59,97,247,1.3212,0.4663,17,2,1,1,193,5424,3.39,27,3,5
Berlin,Germany,1854,361.35,0.2258,56,51,176,83,270,0.1688,1.4,1.114,1.247,6485,7227,707,3.1534,0.4419,99,48,20,13,11,5,167,224,1.7609,0.6865,13,83,17,12,75,1794,1.1213,30,23,20
Budapest,Hungary,175402,43277.45,27.0484,3154,5488,30813,6849,42953,26.8456,1.35,1.12,1.191,771730,864541,71559,3.7909,44.7244,430,5781,473,1160,1870,1164,716,14139,2.2971,0.6034,45,314,200,843,7718,478849,299.2806,9087,763,3809
Dublin,Ireland,210804,57267.8,35.7924,151,7977,26232,4905,30571,19.1069,1.31,1.103,1.226,1037773,1145094,28431,4.0445,17.7694,361,4036,244,830,1132,458,425,35347,1.9443,0.5426,36,8783,922,955,12988,594883,371.8019,4066,3089,4645
Rome,Italy,1943,538.85,0.3368,68,53,259,91,416,0.26,1.27,1.074,1.214,10023,10764,605,3.8893,0.3781,113,115,13,17,21,12,57,150,1.7382,0.6995,12,56,9,3,41,1063,0.6644,18,0,0
Amsterdam,Netherlands,1115,304.55,0.1903,15,35,139,61,215,0.1344,1.26,1.062,1.24,5736,6090,438,3.3943,0.2737,74,53,6,4,9,2,36,425,1.4567,0.5254,16,14,2,6,320,2493,1.5581,2,26,54
Lisbon,Portugal,170222,49433.1,30.8957,5291,5093,42834,9746,41975,26.2344,1.3,1.103,1.186,892729,984710,43889,4.0813,27.4306,393,8131,520,1236,1641,1015,861,25857,2.3298,0.6157,44,2613,210,1304,9190,321558,200.9737,5839,503,3117
Barcelona,Spain,212979,59884.1,37.4276,2378,5827,34745,8733,63361,39.6006,1.33,1.126,1.175,1062209,1196209,68904,3.8327,43.065,402,10712,596,2290,2604,984,738,18301,2.3616,0.6204,45,3874,136,643,5942,192809,120.5056,29381,356,8642
Madrid,Spain,1591,572.95,0.3581,31,40,165,49,298,0.1862,1.21,1.06,1.214,10805,11458,369,3.2654,0.2306,71,31,18,13,11,3,47,160,1.6538,0.5837,17,92,6,4,23,881,0.5506,312,7,3
Zurich,Switzerland,297719,79735.75,49.8348,3355,6045,25856,7011,58100,36.3125,1.3,1.091,1.199,1461134,1594260,74840,3.4204,46.775,430,4826,1588,907,1306,662,682,27057,2.2123,0.5746,47,1355,240,388,9599,320573,200.3581,6273,1959,2148
London,UK,761,239.75,0.1498,12,15,141,32,114,0.0712,1.21,1.042,1.245,4600,4794,136,2.695,0.085,34,6,6,3,2,0,44,155,2.0541,0.7409,16,51,2,6,38,2020,1.2625,282,1,1
Baghdad,Iraq,72228,17745.2,11.0907,1157,548,46199,1626,8755,5.4719,1.41,1.173,1.174,302427,354879,19884,3.7678,12.4275,227,2848,2051,2063,2613,384,63,5295,1.5148,0.4649,26,1229,89,131,2819,41087,25.6794,1,36,70
Kuwait City,Kuwait,59944,19887.45,12.4297,1036,1095,15680,2744,10679,6.6744,1.28,1.115,1.166,356835,397732,7583,3.4545,4.7394,186,1135,108,225,267,252,137,390,2.3215,0.7305,24,12,66,25,128,111535,69.7094,24,222,203
Beirut,Lebanon,37354,22500.1,14.0626,214,1050,19016,2543,6724,4.2025,1.12,1.033,1.21,435662,449971,7215,3.8571,4.5094,212,1498,178,903,395,340,135,1253,2.2103,0.6437,31,427,8,45,235,177410,110.8812,455,171,223
Doha,Qatar,105669,32593.5,20.3709,1930,2833,30805,5565,25147,15.7169,1.3,1.119,1.174,582741,651835,7851,3.928,4.9069,196,1252,68,236,529,226,124,5259,1.1708,0.3514,28,849,98,102,3673,171970,107.4813,1336,389,175
Jeddah,Saudi Arabia,37316,9653.55,6.0335,760,1019,21814,1034,3834,2.3963,1.46,1.223,1.142,157860,193071,3965,3.7209,2.4781,158,986,73,290,327,202,33,640,1.9992,0.7056,17,150,160,45,93,24372,15.2325,1197,183,30
Riyadh,Saudi Arabia,89951,20440.35,12.7752,1348,1846,52756,4770,8415,5.2594,1.54,1.262,1.12,323968,408726,6642,3.3736,4.1513,172,1203,163,226,433,280,190,3607,1.9121,0.5678,29,1774,476,137,386,85454,53.4087,1345,4903,192
Istanbul,Turkey,849,297.65,0.186,68,35,273,42,156,0.0975,1.19,1.045,1.23,5694,5953,350,3.5762,0.2188,74,82,13,20,47,28,28,92,1.8869,0.7869,11,20,5,5,44,2054,1.2837,0,7,20
Abu Dhabi,UAE,55719,19299.4,12.0621,676,1497,7852,1958,11014,6.8838,1.27,1.106,1.182,348945,385970,12997,3.9533,8.1231,192,2265,80,459,784,433,72,4390,0.8437,0.2691,23,209,35,144,3826,65972,41.2325,1058,186,134
Dubai,UAE,1065,579.3,0.3621,34,24,130,43,168,0.105,1.15,1.052,1.208,11012,11586,283,2.788,0.1769,43,25,3,8,16,3,13,109,0.9907,0.6156,5,20,0,8,73,1236,0.7725,4,0,16
Montreal,Canada,433884,93188.7,58.2429,4198,10970,30511,13676,103841,64.9006,1.41,1.146,1.19,1625381,1863388,53450,3.6551,33.4062,364,6051,433,760,1715,612,423,20516,1.9185,0.5133,42,6383,1921,571,6421,480143,300.0894,30737,3835,2524
Toronto,Canada,243439,60216.5,37.6353,3556,12412,24190,6448,62069,38.7931,1.4,1.163,1.181,1035299,1203767,63844,4.04,39.9025,567,9659,276,1533,1951,935,398,23448,1.6506,0.4505,39,5639,780,890,11205,491456,307.16,2264,1866,7383
Vancouver,Canada,195379,49506.1,30.9413,2061,6364,16602,5625,43969,27.4806,1.4,1.166,1.177,848507,989669,36259,3.7623,22.6619,391,5342,201,698,715,524,235,15833,1.8362,0.4913,42,6500,733,650,4436,324375,202.7344,5211,1240,1545
MexicoCity,Mexico,1802,465.4,0.2909,45,27,654,87,316,0.1975,1.29,1.083,1.233,8589,9302,420,3.5761,0.2625,78,49,24,17,23,8,44,110,1.3172,0.5995,9,9,1,10,83,1494,0.9337,0,3,17
Atlanta,USA,248746,55859.7,34.9123,3868,6679,33630,5423,46572,29.1075,1.36,1.113,1.2,1003766,1117003,13233,4.0376,8.2706,302,2840,411,256,534,369,603,5377,2.0631,0.5593,40,1352,859,238,1644,455881,284.9256,1038,1625,328
Chicago,USA,2207,432.75,0.2705,0,96,147,43,261,0.1631,1.47,1.171,1.227,7375,8639,323,2.953,0.2019,47,41,15,1,6,1,37,159,1.6873,0.7328,10,44,16,14,61,4386,2.7412,266,4,14
Dallas,USA,257499,62053.9,38.7837,5502,24334,24927,8035,55565,34.7281,1.41,1.166,1.169,1063886,1240937,16362,3.8804,10.2263,271,3149,100,411,888,364,961,13345,1.8639,0.5201,36,3601,1152,574,4619,515100,321.9375,4917,8144,612
Detroit,USA,278111,61411.7,38.3823,4065,8294,23818,5211,45225,28.2656,1.53,1.246,1.159,985254,1227881,17741,4.0139,11.0881,305,2763,288,507,1315,322,403,26512,1.7367,0.4677,41,3686,1035,2699,11972,702718,439.1988,922,1257,2330
Houston,USA,248010,53749.8,33.5936,4316,18922,28515,5540,43911,27.4444,1.44,1.167,1.185,920936,1074804,18936,3.8744,11.835,301,3122,131,386,976,461,620,11109,1.7928,0.486,40,2650,949,485,4802,515811,322.3819,1841,1036,537
LosAngeles,USA,1228,368.45,0.2303,33,56,219,66,287,0.1794,1.27,1.088,1.233,6770,7369,61,2.8281,0.0381,26,8,13,0,2,0,8,70,1.271,0.5785,9,42,1,2,16,7827,4.8919,1695,69,15
Miami,USA,210833,53724.75,33.578,5583,7510,27834,7375,34665,21.6656,1.36,1.136,1.184,945668,1074440,11979,4.0751,7.4869,248,2074,1185,247,442,321,285,5076,1.3297,0.4184,24,675,135,51,3351,378598,236.6238,282,815,66
NewYork,USA,1538,419.6,0.2623,23,49,199,52,255,0.1594,1.3,1.095,1.228,7666,8392,163,2.5521,0.1019,33,6,13,6,4,1,9,73,1.7267,0.6949,12,22,2,3,29,5160,3.225,0,0,0
Phoenix,USA,322001,90663.45,56.6647,6020,14004,41035,7416,60472,37.795,1.34,1.135,1.182,1596915,1813131,46578,3.2125,29.1112,306,3764,238,831,846,450,715,14414,1.8625,0.5239,35,5765,1192,586,3585,618224,386.39,2665,3483,1116
San Diego,USA,239788,50129.4,31.3309,8975,8111,19705,6771,42261,26.4131,1.39,1.117,1.248,896976,1002253,15113,4.0749,9.4456,319,3426,315,181,545,351,272,5584,1.9892,0.5595,35,1333,276,238,2379,269230,168.2688,27343,4032,972
Adelaide,Australia,121892,31863.85,19.9149,2296,5789,26990,3301,25593,15.9956,1.36,1.141,1.181,558499,637118,16241,3.6361,10.1506,305,2174,78,326,452,148,195,5912,2.3748,0.6529,38,1768,230,349,1223,202231,126.3944,549,1040,1949
Perth,Australia,179150,50423.45,31.5147,8720,5655,32217,9685,36108,22.5675,1.34,1.137,1.181,886828,1008391,20961,3.7873,13.1006,317,2778,76,452,567,234,204,7704,2.152,0.5874,39,2077,426,248,2426,210136,131.335,15315,815,244
Auckland,New Zealand,188401,54620.35,34.1377,5478,7933,14273,3772,33670,21.0437,1.3,1.107,1.207,986356,1092162,24536,4.0041,15.335,339,4254,155,648,882,343,454,24620,1.7003,0.4674,38,10535,857,911,8039,509732,318.5825,37332,709,808
Wellington,New Zealand,47654,22435.3,14.0221,278,1971,4364,994,8505,5.3156,1.17,1.055,1.203,424345,447696,7911,3.6939,4.9444,253,1133,29,94,234,66,227,7128,1.6904,0.5129,27,3158,136,251,2132,166131,103.8319,337,476,384
Buenos Aires,Argentina,105650,22829.35,14.2683,2973,8175,39013,6599,33580,20.9875,1.54,1.244,1.161,365852,455277,59766,4.4554,37.3537,391,8131,3767,2571,3789,1388,953,12313,1.6677,0.4729,34,5023,205,881,3320,98738,61.7112,4050,1761,2745
La Paz,Bolivia,72620,22907.8,14.3174,1115,1787,32610,2129,14807,9.2544,1.32,1.134,1.175,403390,457428,14985,4.1202,9.3656,252,2172,491,1303,1149,730,202,4251,1.8634,0.5123,38,196,59,424,2374,30703,19.1894,433,456,450
Brasília,Brazil,88508,22935.4,14.3346,2214,2426,33802,5605,20443,12.7769,1.33,1.115,1.19,411387,458634,11030,4.2255,6.8937,250,2356,334,578,487,284,193,7070,1.7427,0.5028,32,2782,110,82,2034,224781,140.4881,4870,632,39
Rio de Janeiro,Brazil,616,283.75,0.1773,32,24,114,25,119,0.0744,1.14,1.029,1.221,5516,5675,263,3.3686,0.1644,63,26,9,17,11,3,35,102,0.9379,0.451,8,19,2,1,73,337,0.2106,16,7,0
SaoPaulo,Brazil,1560,535.75,0.3348,96,135,518,152,384,0.24,1.2,1.046,1.224,10246,10715,373,3.6459,0.2331,77,30,22,21,17,8,71,80,1.8144,0.7074,13,32,1,17,14,9386,5.8662,0,2,2
Santiago,Chile,1558,427.2,0.267,46,88,284,104,334,0.2087,1.3,1.1,1.225,7765,8544,164,3.5404,0.1025,54,17,29,8,13,0,14,138,1.7831,0.6584,15,27,3,12,69,1788,1.1175,66,1,1
Bogota,Colombia,1494,436.1,0.2726,41,34,480,93,275,0.1719,1.28,1.091,1.227,7991,8721,378,3.8406,0.2362,86,72,27,14,29,9,29,248,1.1094,0.4818,10,104,2,0,122,433,0.2706,121,4,0
Bogotá,Colombia,147883,35746.9,22.3418,3919,4588,41498,7688,35750,22.3438,1.41,1.165,1.184,613053,714275,42390,4.2825,26.4937,352,8425,638,1896,3526,1234,454,17230,1.6228,0.4682,32,6555,337,357,7276,120129,75.0806,5962,2045,267
Cali,Colombia,57067,16383.4,10.2396,1166,2165,18418,3168,13847,8.6544,1.34,1.139,1.182,287702,327666,4478,3.7981,2.7988,164,720,158,1017,271,190,30,1057,2.0088,0.6095,27,468,20,78,183,11842,7.4013,706,167,30
Guayaquil,Ecuador,52957,13140.45,8.2128,1223,1296,28515,1987,11067,6.9169,1.42,1.178,1.175,223008,262788,13232,3.867,8.27,239,2156,277,1098,909,324,798,2140,1.6317,0.4846,29,1207,62,356,88,44158,27.5987,1791,501,99
Quito,Ecuador,98228,27696.1,17.3101,2381,2154,37578,2476,16789,10.4931,1.28,1.085,1.213,510236,553859,32543,3.9243,20.3394,298,4580,599,1567,2080,679,390,2742,2.2813,0.6582,32,996,80,157,621,166321,103.9506,3581,4708,143
Asunción,Paraguay,62101,13502.75,8.4392,1090,987,30085,2575,12297,7.6856,1.46,1.189,1.188,227126,269985,12440,4.1069,7.775,262,1202,1002,799,892,335,202,11907,1.9377,0.5289,39,2098,408,682,6995,660270,412.6687,4833,3743,3014
Lima,Peru,180311,42047.95,26.28,3678,5717,56946,5680,37214,23.2587,1.43,1.18,1.171,712420,840477,42677,3.8086,26.6731,282,6291,9027,3159,2555,1295,450,11737,1.382,0.3799,38,752,81,460,8448,138035,86.2719,6466,2554,870
Caracas,Venezuela,37961,17634.85,11.0218,799,1647,15594,1244,8646,5.4037,1.15,1.038,1.209,339732,352671,9137,4.1696,5.7106,230,1340,432,776,617,937,190,1036,1.8212,0.5408,29,531,21,79,202,42085,26.3031,293,309,446
Dhaka,Bangladesh,49785,18551.7,11.5948,608,741,27632,2122,6819,4.2619,1.22,1.072,1.206,346119,371033,29137,4.1499,18.2106,323,2854,1543,2841,1001,1941,158,2052,2.0914,0.5709,39,704,57,479,435,1224827,765.5169,12655,1345,821
Bangalore,India,211563,43103.5,26.9397,2381,3367,138860,6757,33376,20.86,1.4,1.126,1.23,765309,861977,33348,4.1452,20.8425,377,6498,1169,3019,1193,2602,344,19649,2.0974,0.5543,44,8359,2495,972,626,772289,482.6806,2892,2329,1785
Bengaluru,India,1863,408.45,0.2553,21,46,1312,50,302,0.1888,1.33,1.081,1.259,7554,8169,379,3.8129,0.2369,75,56,31,48,7,18,15,236,1.5771,0.5566,17,145,26,7,11,9984,6.24,12,12,0
Chennai,India,97000,21474.65,13.4217,2022,1726,68964,2668,15196,9.4975,1.37,1.118,1.221,384271,429485,9405,4.0275,5.8781,227,1245,260,1629,371,831,145,2954,2.1826,0.6,38,924,661,407,281,365035,228.1469,169,195,139
Delhi,India,1238,378.85,0.2368,15,33,790,82,183,0.1144,1.25,1.073,1.236,7063,7577,93,3.4121,0.0581,45,5,19,7,6,13,5,60,1.3901,0.6327,9,33,6,2,15,2331,1.4569,5,7,1
Hyderabad,India,178605,38935.55,24.3347,1638,2133,135739,3850,27203,17.0019,1.41,1.144,1.221,680732,778708,14263,3.9263,8.9144,260,1878,806,1692,631,1226,176,2869,2.2143,0.5604,52,942,361,183,576,718340,448.9625,11922,697,67
Lucknow,India,55378,13610.55,8.5066,314,369,37529,2219,7779,4.8619,1.37,1.141,1.195,238567,272187,1570,3.9424,0.9812,143,154,57,336,45,111,14,1029,1.7329,0.4914,34,610,112,58,45,9262,5.7888,1086,104,0
Mumbai,India,81,34.1,0.0213,2,1,21,10,10,0.0063,1.11,0.996,1.258,685,682,5,0.9503,0.0031,3,0,0,0,0,0,0,25,1.3126,0.6312,8,16,0,3,1,98,0.0612,0,0,0
Pune,India,96269,26713.35,16.6958,1878,1219,50335,2870,13107,8.1919,1.26,1.069,1.23,499732,534182,9061,4.0268,5.6631,250,1842,330,1400,369,762,150,3436,1.6717,0.4702,35,1947,266,172,393,277749,173.5931,3255,604,522
Islamabad,Pakistan,68127,21835.65,13.6473,504,942,43608,2551,7090,4.4313,1.26,1.086,1.213,402153,436711,4786,3.7016,2.9912,161,815,354,260,325,481,115,1535,2.3144,0.674,31,463,172,68,327,18401,11.5006,177,190,22
Karachi,Pakistan,79728,18716.2,11.6976,1045,1326,59355,2870,10502,6.5637,1.54,1.272,1.154,294188,374278,32703,4.0782,20.4394,397,4626,1252,1846,851,1960,182,3290,1.6463,0.4794,31,696,112,257,1789,108881,68.0506,354,333,315
Colombo,Sri Lanka,52417,15077.95,9.4237,1397,469,31745,1313,5311,3.3194,1.23,1.048,1.248,287816,301554,12537,3.8547,7.8356,308,1460,744,409,1308,946,139,2688,2.412,0.6631,38,662,117,265,253,420016,262.51,74671,2434,1075
