row_id,dataset_id,city,country,tile_id,latitude,longitude,target_road_segments,target_intersection_nodes,highway_ways,major_road_ways,building_ways,poi_objects,park_objects,water_objects,landuse_residential,landuse_commercial,landuse_industrial,landuse_retail
satca_122::Algiers::47,satca_osm_truth_122,Algiers,Algeria,47,36.749295,3.070044,341.0,7.0,44.0,3.0,213.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0
satca_122::Algiers::48,satca_osm_truth_122,Algiers,Algeria,48,36.749295,3.075666,491.0,16.0,78.0,2.0,33.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::49,satca_osm_truth_122,Algiers,Algeria,49,36.749295,3.081288,474.0,10.0,63.0,8.0,101.0,5.0,12.0,0.0,0.0,1.0,5.0,0.0
satca_122::Algiers::50,satca_osm_truth_122,Algiers,Algeria,50,36.7538,3.03069,572.0,5.0,39.0,6.0,178.0,17.0,0.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::51,satca_osm_truth_122,Algiers,Algeria,51,36.7538,3.036312,389.0,3.0,24.0,7.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::52,satca_osm_truth_122,Algiers,Algeria,52,36.7538,3.041934,550.0,12.0,56.0,25.0,182.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::53,satca_osm_truth_122,Algiers,Algeria,53,36.7538,3.047556,560.0,15.0,59.0,21.0,192.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::54,satca_osm_truth_122,Algiers,Algeria,54,36.7538,3.053178,496.0,4.0,38.0,3.0,177.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::55,satca_osm_truth_122,Algiers,Algeria,55,36.7538,3.0588,436.0,5.0,52.0,3.0,444.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::56,satca_osm_truth_122,Algiers,Algeria,56,36.7538,3.064422,354.0,7.0,54.0,2.0,383.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::57,satca_osm_truth_122,Algiers,Algeria,57,36.7538,3.070044,148.0,1.0,18.0,1.0,98.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
satca_122::Algiers::58,satca_osm_truth_122,Algiers,Algeria,58,36.7538,3.075666,202.0,3.0,34.0,1.0,144.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
satca_122::Algiers::59,satca_osm_truth_122,Algiers,Algeria,59,36.7538,3.081288,27.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::60,satca_osm_truth_122,Algiers,Algeria,60,36.758305,3.03069,504.0,5.0,42.0,15.0,225.0,5.0,4.0,0.0,2.0,3.0,0.0,0.0
satca_122::Algiers::61,satca_osm_truth_122,Algiers,Algeria,61,36.758305,3.036312,427.0,3.0,26.0,2.0,66.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
satca_122::Algiers::62,satca_osm_truth_122,Algiers,Algeria,62,36.758305,3.041934,749.0,5.0,52.0,6.0,123.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::63,satca_osm_truth_122,Algiers,Algeria,63,36.758305,3.047556,647.0,20.0,65.0,30.0,134.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::64,satca_osm_truth_122,Algiers,Algeria,64,36.758305,3.053178,609.0,13.0,89.0,17.0,144.0,47.0,3.0,0.0,2.0,2.0,0.0,0.0
satca_122::Algiers::65,satca_osm_truth_122,Algiers,Algeria,65,36.758305,3.0588,348.0,20.0,73.0,16.0,95.0,39.0,1.0,0.0,3.0,1.0,0.0,1.0
satca_122::Algiers::66,satca_osm_truth_122,Algiers,Algeria,66,36.758305,3.064422,397.0,12.0,71.0,9.0,131.0,28.0,0.0,0.0,0.0,1.0,3.0,0.0
satca_122::Algiers::67,satca_osm_truth_122,Algiers,Algeria,67,36.758305,3.070044,85.0,1.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
satca_122::Algiers::68,satca_osm_truth_122,Algiers,Algeria,68,36.758305,3.075666,10.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
satca_122::Algiers::69,satca_osm_truth_122,Algiers,Algeria,69,36.758305,3.081288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::70,satca_osm_truth_122,Algiers,Algeria,70,36.762809,3.03069,462.0,10.0,52.0,5.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::71,satca_osm_truth_122,Algiers,Algeria,71,36.762809,3.036312,563.0,5.0,43.0,8.0,75.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::72,satca_osm_truth_122,Algiers,Algeria,72,36.762809,3.041934,741.0,4.0,45.0,11.0,209.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::73,satca_osm_truth_122,Algiers,Algeria,73,36.762809,3.047556,630.0,29.0,104.0,25.0,203.0,46.0,1.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::74,satca_osm_truth_122,Algiers,Algeria,74,36.762809,3.053178,625.0,23.0,115.0,8.0,167.0,103.0,0.0,0.0,2.0,2.0,0.0,0.0
satca_122::Algiers::75,satca_osm_truth_122,Algiers,Algeria,75,36.762809,3.0588,828.0,35.0,141.0,27.0,128.0,77.0,1.0,0.0,6.0,0.0,1.0,1.0
satca_122::Algiers::76,satca_osm_truth_122,Algiers,Algeria,76,36.762809,3.064422,24.0,0.0,4.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
satca_122::Algiers::77,satca_osm_truth_122,Algiers,Algeria,77,36.762809,3.070044,28.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
satca_122::Algiers::78,satca_osm_truth_122,Algiers,Algeria,78,36.762809,3.075666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
satca_122::Algiers::79,satca_osm_truth_122,Algiers,Algeria,79,36.762809,3.081288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::80,satca_osm_truth_122,Algiers,Algeria,80,36.767314,3.03069,644.0,23.0,91.0,13.0,380.0,56.0,2.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::81,satca_osm_truth_122,Algiers,Algeria,81,36.767314,3.036312,659.0,11.0,53.0,9.0,370.0,33.0,0.0,0.0,4.0,0.0,0.0,0.0
satca_122::Algiers::82,satca_osm_truth_122,Algiers,Algeria,82,36.767314,3.041934,520.0,9.0,40.0,8.0,288.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::83,satca_osm_truth_122,Algiers,Algeria,83,36.767314,3.047556,902.0,23.0,107.0,27.0,302.0,42.0,0.0,0.0,3.0,0.0,0.0,0.0
satca_122::Algiers::84,satca_osm_truth_122,Algiers,Algeria,84,36.767314,3.053178,616.0,31.0,135.0,15.0,319.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::85,satca_osm_truth_122,Algiers,Algeria,85,36.767314,3.0588,806.0,35.0,158.0,22.0,56.0,47.0,3.0,0.0,3.0,0.0,1.0,0.0
satca_122::Algiers::86,satca_osm_truth_122,Algiers,Algeria,86,36.767314,3.064422,3.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
satca_122::Algiers::87,satca_osm_truth_122,Algiers,Algeria,87,36.767314,3.070044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::88,satca_osm_truth_122,Algiers,Algeria,88,36.767314,3.075666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::89,satca_osm_truth_122,Algiers,Algeria,89,36.767314,3.081288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::90,satca_osm_truth_122,Algiers,Algeria,90,36.771818,3.03069,835.0,12.0,64.0,3.0,421.0,29.0,2.0,0.0,6.0,0.0,0.0,0.0
satca_122::Algiers::91,satca_osm_truth_122,Algiers,Algeria,91,36.771818,3.036312,524.0,11.0,50.0,3.0,505.0,22.0,2.0,0.0,12.0,0.0,0.0,0.0
satca_122::Algiers::92,satca_osm_truth_122,Algiers,Algeria,92,36.771818,3.041934,446.0,2.0,34.0,2.0,287.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::93,satca_osm_truth_122,Algiers,Algeria,93,36.771818,3.047556,745.0,7.0,44.0,2.0,374.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
satca_122::Algiers::94,satca_osm_truth_122,Algiers,Algeria,94,36.771818,3.053178,942.0,29.0,137.0,19.0,297.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0
satca_122::Algiers::95,satca_osm_truth_122,Algiers,Algeria,95,36.771818,3.0588,1063.0,36.0,182.0,44.0,105.0,113.0,2.0,0.0,2.0,1.0,1.0,0.0
satca_122::Algiers::96,satca_osm_truth_122,Algiers,Algeria,96,36.771818,3.064422,184.0,6.0,25.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
satca_122::Algiers::97,satca_osm_truth_122,Algiers,Algeria,97,36.771818,3.070044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::98,satca_osm_truth_122,Algiers,Algeria,98,36.771818,3.075666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::99,satca_osm_truth_122,Algiers,Algeria,99,36.771818,3.081288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::100,satca_osm_truth_122,Luanda,Angola,100,-8.860823,13.211607,295.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::101,satca_osm_truth_122,Luanda,Angola,101,-8.860823,13.216165,340.0,2.0,38.0,12.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::102,satca_osm_truth_122,Luanda,Angola,102,-8.860823,13.220724,300.0,2.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::103,satca_osm_truth_122,Luanda,Angola,103,-8.860823,13.225283,215.0,3.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::104,satca_osm_truth_122,Luanda,Angola,104,-8.860823,13.229841,185.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::105,satca_osm_truth_122,Luanda,Angola,105,-8.860823,13.2344,302.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::106,satca_osm_truth_122,Luanda,Angola,106,-8.860823,13.238959,333.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::107,satca_osm_truth_122,Luanda,Angola,107,-8.860823,13.243517,214.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::108,satca_osm_truth_122,Luanda,Angola,108,-8.860823,13.248076,208.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::109,satca_osm_truth_122,Luanda,Angola,109,-8.860823,13.252635,272.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::110,satca_osm_truth_122,Luanda,Angola,110,-8.856318,13.211607,366.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::111,satca_osm_truth_122,Luanda,Angola,111,-8.856318,13.216165,375.0,1.0,44.0,10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::112,satca_osm_truth_122,Luanda,Angola,112,-8.856318,13.220724,470.0,8.0,44.0,4.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::113,satca_osm_truth_122,Luanda,Angola,113,-8.856318,13.225283,243.0,2.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::114,satca_osm_truth_122,Luanda,Angola,114,-8.856318,13.229841,62.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::115,satca_osm_truth_122,Luanda,Angola,115,-8.856318,13.2344,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::116,satca_osm_truth_122,Luanda,Angola,116,-8.856318,13.238959,348.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::117,satca_osm_truth_122,Luanda,Angola,117,-8.856318,13.243517,368.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::118,satca_osm_truth_122,Luanda,Angola,118,-8.856318,13.248076,174.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::119,satca_osm_truth_122,Luanda,Angola,119,-8.856318,13.252635,298.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
satca_122::Luanda::120,satca_osm_truth_122,Luanda,Angola,120,-8.851814,13.211607,437.0,6.0,57.0,7.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::121,satca_osm_truth_122,Luanda,Angola,121,-8.851814,13.216165,330.0,3.0,34.0,3.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::122,satca_osm_truth_122,Luanda,Angola,122,-8.851814,13.220724,592.0,16.0,81.0,34.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::123,satca_osm_truth_122,Luanda,Angola,123,-8.851814,13.225283,309.0,7.0,50.0,6.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::124,satca_osm_truth_122,Luanda,Angola,124,-8.851814,13.229841,101.0,0.0,15.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::125,satca_osm_truth_122,Luanda,Angola,125,-8.851814,13.2344,64.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::126,satca_osm_truth_122,Luanda,Angola,126,-8.851814,13.238959,227.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::127,satca_osm_truth_122,Luanda,Angola,127,-8.851814,13.243517,287.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::128,satca_osm_truth_122,Luanda,Angola,128,-8.851814,13.248076,342.0,2.0,29.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::129,satca_osm_truth_122,Luanda,Angola,129,-8.851814,13.252635,360.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::130,satca_osm_truth_122,Luanda,Angola,130,-8.847309,13.211607,579.0,13.0,65.0,20.0,7.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::131,satca_osm_truth_122,Luanda,Angola,131,-8.847309,13.216165,303.0,3.0,33.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::132,satca_osm_truth_122,Luanda,Angola,132,-8.847309,13.220724,365.0,7.0,52.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::133,satca_osm_truth_122,Luanda,Angola,133,-8.847309,13.225283,579.0,19.0,95.0,13.0,31.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Luanda::134,satca_osm_truth_122,Luanda,Angola,134,-8.847309,13.229841,386.0,6.0,65.0,8.0,42.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::135,satca_osm_truth_122,Luanda,Angola,135,-8.847309,13.2344,873.0,30.0,144.0,15.0,11.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::136,satca_osm_truth_122,Luanda,Angola,136,-8.847309,13.238959,168.0,0.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::137,satca_osm_truth_122,Luanda,Angola,137,-8.847309,13.243517,298.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::138,satca_osm_truth_122,Luanda,Angola,138,-8.847309,13.248076,300.0,4.0,22.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::139,satca_osm_truth_122,Luanda,Angola,139,-8.847309,13.252635,356.0,8.0,35.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::140,satca_osm_truth_122,Luanda,Angola,140,-8.842805,13.211607,310.0,8.0,47.0,12.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::141,satca_osm_truth_122,Luanda,Angola,141,-8.842805,13.216165,298.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::142,satca_osm_truth_122,Luanda,Angola,142,-8.842805,13.220724,433.0,3.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::143,satca_osm_truth_122,Luanda,Angola,143,-8.842805,13.225283,404.0,2.0,48.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::144,satca_osm_truth_122,Luanda,Angola,144,-8.842805,13.229841,460.0,13.0,88.0,12.0,29.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::145,satca_osm_truth_122,Luanda,Angola,145,-8.842805,13.2344,384.0,10.0,71.0,15.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Luanda::146,satca_osm_truth_122,Luanda,Angola,146,-8.842805,13.238959,320.0,5.0,54.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0
satca_122::Luanda::147,satca_osm_truth_122,Luanda,Angola,147,-8.842805,13.243517,507.0,8.0,69.0,12.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
