city,country,tile_id,tile_row,tile_col,center_lat,center_lon,south,west,north,east,dist_from_center_km,tile_size_m,tile_protocol_source,legacy_image_path,legacy_city,legacy_tile_name,legacy_zoom,legacy_tile_x,legacy_tile_y
Algiers,Algeria,13,1,3,36.735782,3.047556,36.73353,3.044745,36.738034,3.050366,2.357,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,14,1,4,36.735782,3.053178,36.73353,3.050368,36.738034,3.055988,2.095,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,15,1,5,36.735782,3.0588,36.73353,3.05599,36.738034,3.06161,2.0,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,16,1,6,36.735782,3.064422,36.73353,3.061612,36.738034,3.067232,2.095,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,17,1,7,36.735782,3.070044,36.73353,3.067234,36.738034,3.072855,2.357,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,18,1,8,36.735782,3.075666,36.73353,3.072856,36.738034,3.078477,2.74,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,19,1,9,36.735782,3.081288,36.73353,3.078478,36.738034,3.084099,3.199,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,20,2,0,36.740286,3.03069,36.738034,3.027879,36.742539,3.0335,3.462,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,21,2,1,36.740286,3.036312,36.738034,3.033501,36.742539,3.039122,2.912,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,22,2,2,36.740286,3.041934,36.738034,3.039123,36.742539,3.044744,2.399,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,23,2,3,36.740286,3.047556,36.738034,3.044745,36.742539,3.050366,1.951,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,24,2,4,36.740286,3.053178,36.738034,3.050367,36.742539,3.055988,1.625,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,25,2,5,36.740286,3.0588,36.738034,3.055989,36.742539,3.061611,1.5,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,26,2,6,36.740286,3.064422,36.738034,3.061612,36.742539,3.067233,1.625,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,27,2,7,36.740286,3.070044,36.738034,3.067234,36.742539,3.072855,1.951,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,28,2,8,36.740286,3.075666,36.738034,3.072856,36.742539,3.078477,2.399,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,29,2,9,36.740286,3.081288,36.738034,3.078478,36.742539,3.084099,2.912,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,30,3,0,36.744791,3.03069,36.742539,3.027879,36.747043,3.0335,3.277,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,31,3,1,36.744791,3.036312,36.742539,3.033501,36.747043,3.039122,2.689,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,32,3,2,36.744791,3.041934,36.742539,3.039123,36.747043,3.044744,2.122,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,33,3,3,36.744791,3.047556,36.742539,3.044745,36.747043,3.050367,1.599,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,34,3,4,36.744791,3.053178,36.742539,3.050367,36.747043,3.055989,1.179,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,35,3,5,36.744791,3.0588,36.742539,3.055989,36.747043,3.061611,1.0,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,36,3,6,36.744791,3.064422,36.742539,3.061611,36.747043,3.067233,1.179,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,37,3,7,36.744791,3.070044,36.742539,3.067233,36.747043,3.072855,1.599,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,38,3,8,36.744791,3.075666,36.742539,3.072856,36.747043,3.078477,2.122,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,39,3,9,36.744791,3.081288,36.742539,3.078478,36.747043,3.084099,2.689,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,40,4,0,36.749295,3.03069,36.747043,3.027879,36.751548,3.0335,3.16,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,41,4,1,36.749295,3.036312,36.747043,3.033501,36.751548,3.039122,2.546,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,42,4,2,36.749295,3.041934,36.747043,3.039123,36.751548,3.044745,1.938,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,43,4,3,36.749295,3.047556,36.747043,3.044745,36.751548,3.050367,1.345,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,44,4,4,36.749295,3.053178,36.747043,3.050367,36.751548,3.055989,0.8,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,45,4,5,36.749295,3.0588,36.747043,3.055989,36.751548,3.061611,0.5,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,46,4,6,36.749295,3.064422,36.747043,3.061611,36.751548,3.067233,0.8,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,47,4,7,36.749295,3.070044,36.747043,3.067233,36.751548,3.072855,1.345,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,48,4,8,36.749295,3.075666,36.747043,3.072855,36.751548,3.078477,1.938,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,49,4,9,36.749295,3.081288,36.747043,3.078478,36.751548,3.084099,2.546,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,50,5,0,36.7538,3.03069,36.751548,3.027878,36.756052,3.033501,3.12,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,51,5,1,36.7538,3.036312,36.751548,3.033501,36.756052,3.039123,2.496,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,52,5,2,36.7538,3.041934,36.751548,3.039123,36.756052,3.044745,1.872,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,53,5,3,36.7538,3.047556,36.751548,3.044745,36.756052,3.050367,1.248,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,54,5,4,36.7538,3.053178,36.751548,3.050367,36.756052,3.055989,0.624,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,55,5,5,36.7538,3.0588,36.751548,3.055989,36.756052,3.061611,0.0,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,56,5,6,36.7538,3.064422,36.751548,3.061611,36.756052,3.067233,0.624,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,57,5,7,36.7538,3.070044,36.751548,3.067233,36.756052,3.072855,1.248,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,58,5,8,36.7538,3.075666,36.751548,3.072855,36.756052,3.078477,1.872,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,59,5,9,36.7538,3.081288,36.751548,3.078477,36.756052,3.084099,2.496,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,60,6,0,36.758305,3.03069,36.756052,3.027878,36.760557,3.033501,3.16,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,61,6,1,36.758305,3.036312,36.756052,3.0335,36.760557,3.039123,2.546,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,62,6,2,36.758305,3.041934,36.756052,3.039122,36.760557,3.044745,1.938,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,63,6,3,36.758305,3.047556,36.756052,3.044745,36.760557,3.050367,1.345,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,64,6,4,36.758305,3.053178,36.756052,3.050367,36.760557,3.055989,0.8,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,65,6,5,36.758305,3.0588,36.756052,3.055989,36.760557,3.061611,0.5,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,66,6,6,36.758305,3.064422,36.756052,3.061611,36.760557,3.067233,0.8,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,67,6,7,36.758305,3.070044,36.756052,3.067233,36.760557,3.072855,1.345,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,68,6,8,36.758305,3.075666,36.756052,3.072855,36.760557,3.078478,1.938,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,69,6,9,36.758305,3.081288,36.756052,3.078477,36.760557,3.0841,2.546,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,70,7,0,36.762809,3.03069,36.760557,3.027878,36.765061,3.033501,3.277,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,71,7,1,36.762809,3.036312,36.760557,3.0335,36.765061,3.039123,2.689,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,72,7,2,36.762809,3.041934,36.760557,3.039122,36.765061,3.044745,2.122,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,73,7,3,36.762809,3.047556,36.760557,3.044744,36.765061,3.050367,1.599,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,74,7,4,36.762809,3.053178,36.760557,3.050367,36.765061,3.055989,1.179,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,75,7,5,36.762809,3.0588,36.760557,3.055989,36.765061,3.061611,1.0,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,76,7,6,36.762809,3.064422,36.760557,3.061611,36.765061,3.067233,1.179,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,77,7,7,36.762809,3.070044,36.760557,3.067233,36.765061,3.072856,1.599,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,78,7,8,36.762809,3.075666,36.760557,3.072855,36.765061,3.078478,2.122,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,79,7,9,36.762809,3.081288,36.760557,3.078477,36.765061,3.0841,2.689,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,80,8,0,36.767314,3.03069,36.765061,3.027878,36.769566,3.033501,3.462,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,81,8,1,36.767314,3.036312,36.765061,3.0335,36.769566,3.039123,2.912,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,82,8,2,36.767314,3.041934,36.765061,3.039122,36.769566,3.044745,2.399,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,83,8,3,36.767314,3.047556,36.765061,3.044744,36.769566,3.050367,1.951,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,84,8,4,36.767314,3.053178,36.765061,3.050366,36.769566,3.055989,1.625,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,85,8,5,36.767314,3.0588,36.765061,3.055988,36.769566,3.061612,1.5,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,86,8,6,36.767314,3.064422,36.765061,3.061611,36.769566,3.067234,1.625,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,87,8,7,36.767314,3.070044,36.765061,3.067233,36.769566,3.072856,1.951,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,88,8,8,36.767314,3.075666,36.765061,3.072855,36.769566,3.078478,2.399,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,89,8,9,36.767314,3.081288,36.765061,3.078477,36.769566,3.0841,2.912,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,90,9,0,36.771818,3.03069,36.769566,3.027878,36.77407,3.033501,3.706,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,91,9,1,36.771818,3.036312,36.769566,3.0335,36.77407,3.039123,3.199,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,92,9,2,36.771818,3.041934,36.769566,3.039122,36.77407,3.044745,2.74,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,93,9,3,36.771818,3.047556,36.769566,3.044744,36.77407,3.050368,2.357,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,94,9,4,36.771818,3.053178,36.769566,3.050366,36.77407,3.05599,2.095,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,95,9,5,36.771818,3.0588,36.769566,3.055988,36.77407,3.061612,2.0,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,96,9,6,36.771818,3.064422,36.769566,3.06161,36.77407,3.067234,2.095,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,97,9,7,36.771818,3.070044,36.769566,3.067232,36.77407,3.072856,2.357,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,98,9,8,36.771818,3.075666,36.769566,3.072855,36.77407,3.078478,2.74,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,99,9,9,36.771818,3.081288,36.769566,3.078477,36.77407,3.0841,3.199,500.0,active96,not_released,Algiers,,,,
Luanda,Angola,100,0,0,-8.860823,13.211607,-8.863075,13.209327,-8.85857,13.213886,3.557,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,101,0,1,-8.860823,13.216165,-8.863075,13.213886,-8.85857,13.218445,3.217,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,102,0,2,-8.860823,13.220724,-8.863075,13.218445,-8.85857,13.223004,2.925,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,103,0,3,-8.860823,13.225283,-8.863075,13.223003,-8.85857,13.227562,2.697,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,104,0,4,-8.860823,13.229841,-8.863075,13.227562,-8.85857,13.232121,2.551,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,105,0,5,-8.860823,13.2344,-8.863075,13.232121,-8.85857,13.236679,2.5,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,106,0,6,-8.860823,13.238959,-8.863075,13.236679,-8.85857,13.241238,2.551,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,107,0,7,-8.860823,13.243517,-8.863075,13.241238,-8.85857,13.245797,2.697,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,108,0,8,-8.860823,13.248076,-8.863075,13.245796,-8.85857,13.250355,2.925,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,109,0,9,-8.860823,13.252635,-8.863075,13.250355,-8.85857,13.254914,3.217,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,110,1,0,-8.856318,13.211607,-8.85857,13.209327,-8.854066,13.213886,3.225,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,111,1,1,-8.856318,13.216165,-8.85857,13.213886,-8.854066,13.218445,2.845,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,112,1,2,-8.856318,13.220724,-8.85857,13.218445,-8.854066,13.223004,2.511,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,113,1,3,-8.856318,13.225283,-8.85857,13.223003,-8.854066,13.227562,2.241,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,114,1,4,-8.856318,13.229841,-8.85857,13.227562,-8.854066,13.232121,2.063,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,115,1,5,-8.856318,13.2344,-8.85857,13.232121,-8.854066,13.236679,2.0,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,116,1,6,-8.856318,13.238959,-8.85857,13.236679,-8.854066,13.241238,2.063,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,117,1,7,-8.856318,13.243517,-8.85857,13.241238,-8.854066,13.245797,2.241,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,118,1,8,-8.856318,13.248076,-8.85857,13.245796,-8.854066,13.250355,2.511,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,119,1,9,-8.856318,13.252635,-8.85857,13.250355,-8.854066,13.254914,2.845,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,120,2,0,-8.851814,13.211607,-8.854066,13.209327,-8.849561,13.213886,2.941,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,121,2,1,-8.851814,13.216165,-8.854066,13.213886,-8.849561,13.218445,2.519,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,122,2,2,-8.851814,13.220724,-8.854066,13.218445,-8.849561,13.223003,2.134,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,123,2,3,-8.851814,13.225283,-8.854066,13.223003,-8.849561,13.227562,1.809,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,124,2,4,-8.851814,13.229841,-8.854066,13.227562,-8.849561,13.232121,1.583,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,125,2,5,-8.851814,13.2344,-8.854066,13.232121,-8.849561,13.236679,1.5,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,126,2,6,-8.851814,13.238959,-8.854066,13.236679,-8.849561,13.241238,1.583,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,127,2,7,-8.851814,13.243517,-8.854066,13.241238,-8.849561,13.245797,1.809,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,128,2,8,-8.851814,13.248076,-8.854066,13.245797,-8.849561,13.250355,2.134,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,129,2,9,-8.851814,13.252635,-8.854066,13.250355,-8.849561,13.254914,2.519,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,130,3,0,-8.847309,13.211607,-8.849561,13.209327,-8.845057,13.213886,2.72,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,131,3,1,-8.847309,13.216165,-8.849561,13.213886,-8.845057,13.218445,2.258,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,132,3,2,-8.847309,13.220724,-8.849561,13.218445,-8.845057,13.223003,1.818,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,133,3,3,-8.847309,13.225283,-8.849561,13.223003,-8.845057,13.227562,1.423,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,134,3,4,-8.847309,13.229841,-8.849561,13.227562,-8.845057,13.232121,1.121,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,135,3,5,-8.847309,13.2344,-8.849561,13.232121,-8.845057,13.236679,1.0,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,136,3,6,-8.847309,13.238959,-8.849561,13.236679,-8.845057,13.241238,1.121,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,137,3,7,-8.847309,13.243517,-8.849561,13.241238,-8.845057,13.245797,1.423,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,138,3,8,-8.847309,13.248076,-8.849561,13.245797,-8.845057,13.250355,1.818,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,139,3,9,-8.847309,13.252635,-8.849561,13.250355,-8.845057,13.254914,2.258,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,140,4,0,-8.842805,13.211607,-8.845057,13.209327,-8.840552,13.213886,2.579,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,141,4,1,-8.842805,13.216165,-8.845057,13.213886,-8.840552,13.218445,2.085,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,142,4,2,-8.842805,13.220724,-8.845057,13.218445,-8.840552,13.223003,1.598,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,143,4,3,-8.842805,13.225283,-8.845057,13.223003,-8.840552,13.227562,1.129,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,144,4,4,-8.842805,13.229841,-8.845057,13.227562,-8.840552,13.232121,0.711,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,145,4,5,-8.842805,13.2344,-8.845057,13.232121,-8.840552,13.236679,0.5,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,146,4,6,-8.842805,13.238959,-8.845057,13.236679,-8.840552,13.241238,0.711,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,147,4,7,-8.842805,13.243517,-8.845057,13.241238,-8.840552,13.245797,1.129,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,148,4,8,-8.842805,13.248076,-8.845057,13.245797,-8.840552,13.250355,1.598,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,149,4,9,-8.842805,13.252635,-8.845057,13.250355,-8.840552,13.254914,2.085,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,150,5,0,-8.8383,13.211607,-8.840552,13.209328,-8.836048,13.213886,2.53,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,151,5,1,-8.8383,13.216165,-8.840552,13.213886,-8.836048,13.218445,2.024,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,152,5,2,-8.8383,13.220724,-8.840552,13.218445,-8.836048,13.223003,1.518,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,153,5,3,-8.8383,13.225283,-8.840552,13.223003,-8.836048,13.227562,1.012,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,154,5,4,-8.8383,13.229841,-8.840552,13.227562,-8.836048,13.232121,0.506,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,155,5,5,-8.8383,13.2344,-8.840552,13.232121,-8.836048,13.236679,0.0,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,156,5,6,-8.8383,13.238959,-8.840552,13.236679,-8.836048,13.241238,0.506,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,157,5,7,-8.8383,13.243517,-8.840552,13.241238,-8.836048,13.245797,1.012,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,158,5,8,-8.8383,13.248076,-8.840552,13.245797,-8.836048,13.250355,1.518,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,159,5,9,-8.8383,13.252635,-8.840552,13.250355,-8.836048,13.254914,2.024,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,160,6,0,-8.833795,13.211607,-8.836048,13.209328,-8.831543,13.213886,2.579,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,161,6,1,-8.833795,13.216165,-8.836048,13.213886,-8.831543,13.218445,2.085,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,162,6,2,-8.833795,13.220724,-8.836048,13.218445,-8.831543,13.223003,1.598,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,163,6,3,-8.833795,13.225283,-8.836048,13.223003,-8.831543,13.227562,1.129,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,164,6,4,-8.833795,13.229841,-8.836048,13.227562,-8.831543,13.232121,0.711,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,165,6,5,-8.833795,13.2344,-8.836048,13.232121,-8.831543,13.236679,0.5,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,166,6,6,-8.833795,13.238959,-8.836048,13.236679,-8.831543,13.241238,0.711,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,167,6,7,-8.833795,13.243517,-8.836048,13.241238,-8.831543,13.245797,1.129,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,168,6,8,-8.833795,13.248076,-8.836048,13.245797,-8.831543,13.250355,1.598,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,169,6,9,-8.833795,13.252635,-8.836048,13.250355,-8.831543,13.254914,2.085,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,170,7,0,-8.829291,13.211607,-8.831543,13.209328,-8.827039,13.213886,2.72,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,171,7,1,-8.829291,13.216165,-8.831543,13.213886,-8.827039,13.218445,2.258,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,172,7,2,-8.829291,13.220724,-8.831543,13.218445,-8.827039,13.223003,1.818,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,173,7,3,-8.829291,13.225283,-8.831543,13.223003,-8.827039,13.227562,1.423,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,174,7,4,-8.829291,13.229841,-8.831543,13.227562,-8.827039,13.232121,1.121,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,175,7,5,-8.829291,13.2344,-8.831543,13.232121,-8.827039,13.236679,1.0,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,176,7,6,-8.829291,13.238959,-8.831543,13.236679,-8.827039,13.241238,1.121,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,177,7,7,-8.829291,13.243517,-8.831543,13.241238,-8.827039,13.245797,1.423,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,178,7,8,-8.829291,13.248076,-8.831543,13.245797,-8.827039,13.250355,1.818,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,179,7,9,-8.829291,13.252635,-8.831543,13.250355,-8.827039,13.254914,2.258,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,180,8,0,-8.824786,13.211607,-8.827039,13.209328,-8.822534,13.213886,2.941,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,181,8,1,-8.824786,13.216165,-8.827039,13.213886,-8.822534,13.218445,2.519,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,182,8,2,-8.824786,13.220724,-8.827039,13.218445,-8.822534,13.223003,2.134,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,183,8,3,-8.824786,13.225283,-8.827039,13.223003,-8.822534,13.227562,1.809,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,184,8,4,-8.824786,13.229841,-8.827039,13.227562,-8.822534,13.232121,1.583,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,185,8,5,-8.824786,13.2344,-8.827039,13.232121,-8.822534,13.236679,1.5,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,186,8,6,-8.824786,13.238959,-8.827039,13.236679,-8.822534,13.241238,1.583,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,187,8,7,-8.824786,13.243517,-8.827039,13.241238,-8.822534,13.245797,1.809,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,188,8,8,-8.824786,13.248076,-8.827039,13.245797,-8.822534,13.250355,2.134,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,189,8,9,-8.824786,13.252635,-8.827039,13.250355,-8.822534,13.254914,2.519,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,190,9,0,-8.820282,13.211607,-8.822534,13.209328,-8.81803,13.213886,3.225,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,191,9,1,-8.820282,13.216165,-8.822534,13.213886,-8.81803,13.218445,2.845,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,192,9,2,-8.820282,13.220724,-8.822534,13.218445,-8.81803,13.223003,2.511,500.0,active96,not_released,Luanda,,,,
Luanda,Angola,193,9,3,-8.820282,13.225283,-8.822534,13.223004,-8.81803,13.227562,2.241,500.0,active96,not_released,Luanda,,,,
