city,legacy_city,country,region,latitude,longitude,population,membership_source,city_norm_key,in_96,in_historical43,source_count,is_audited9,is_structural43,is_heldout17,active_line,paper_memberships
Kunming,Kunming,China,East Asia,25.0406,102.7129,6850000,current_96,kunming,True,False,1,False,False,False,mainline_122,scale122
Lanzhou,Lanzhou,China,East Asia,36.0611,103.8343,3616000,current_96,lanzhou,True,False,1,False,False,False,mainline_122,scale122
Lhasa,Lhasa,China,East Asia,29.65,91.1,559000,current_96,lhasa,True,False,1,False,False,False,mainline_122,scale122
Shanghai,Shanghai,China,East Asia,31.2304,121.4737,27058000,candidate_expansion,shanghai,False,True,1,True,True,False,mainline_122,"audited9,structural43,scale122"
Shenyang,Shenyang,China,East Asia,41.8057,123.4328,8294000,current_96,shenyang,True,False,1,False,False,False,mainline_122,scale122
Shenzhen,Shenzhen,China,East Asia,22.5431,114.0579,12528000,current_96,shenzhen,True,False,1,False,False,False,mainline_122,scale122
Shijiazhuang,Shijiazhuang,China,East Asia,38.0428,114.5149,10784000,current_96,shijiazhuang,True,False,1,False,False,False,mainline_122,scale122
Suzhou,Suzhou,China,East Asia,31.2989,120.5853,10721000,current_96,suzhou,True,False,1,False,False,False,mainline_122,scale122
Taiyuan,Taiyuan,China,East Asia,37.8706,112.5489,4201000,current_96,taiyuan,True,False,1,False,False,False,mainline_122,scale122
Urumqi,Urumqi,China,East Asia,43.8256,87.6168,3500000,current_96,urumqi,True,False,1,False,False,False,mainline_122,scale122
Xi'an,Xi'an,China,East Asia,34.3416,108.9398,12005000,current_96,xian,True,False,1,False,False,False,mainline_122,scale122
Tokyo,Tokyo,Japan,East Asia,35.6762,139.6503,13960000,candidate_expansion,tokyo,False,True,1,True,True,True,mainline_122,"audited9,structural43,heldout17,scale122"
Busan,Busan,South Korea,East Asia,35.1796,129.0756,3414000,current_96,busan,True,False,1,False,False,False,mainline_122,scale122
Seoul,Seoul,South Korea,East Asia,37.5665,126.978,9776000,candidate_expansion,seoul,False,True,1,True,True,True,mainline_122,"audited9,structural43,heldout17,scale122"
Vienna,Vienna,Austria,Europe,48.2082,16.3738,1911000,current_96,vienna,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Brussels,Brussels,Belgium,Europe,50.8503,4.3517,1209000,current_96,brussels,True,False,1,False,False,False,mainline_122,scale122
Prague,Prague,Czech Republic,Europe,50.0755,14.4378,1309000,current_96,prague,True,False,1,False,False,False,mainline_122,scale122
Copenhagen,Copenhagen,Denmark,Europe,55.6761,12.5683,799000,current_96,copenhagen,True,False,1,False,False,False,mainline_122,scale122
Helsinki,Helsinki,Finland,Europe,60.1699,24.9384,656000,current_96,helsinki,True,False,1,False,False,False,mainline_122,scale122
Paris,Paris,France,Europe,48.8566,2.3522,2161000,manual_metadata,paris,False,True,1,True,True,True,mainline_122,"audited9,structural43,heldout17,scale122"
Berlin,Berlin,Germany,Europe,52.52,13.405,3671000,manual_metadata,berlin,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Budapest,Budapest,Hungary,Europe,47.4979,19.0402,1752000,current_96,budapest,True,False,1,False,False,False,mainline_122,scale122
Dublin,Dublin,Ireland,Europe,53.3498,-6.2603,555000,current_96,dublin,True,False,1,False,False,False,mainline_122,scale122
Rome,Rome,Italy,Europe,41.9028,12.4964,2748000,manual_metadata,rome,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Amsterdam,Amsterdam,Netherlands,Europe,52.3676,4.9041,921402,manual_metadata,amsterdam,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Lisbon,Lisbon,Portugal,Europe,38.7223,-9.1393,505000,current_96,lisbon,True,False,1,False,False,False,mainline_122,scale122
Barcelona,Barcelona,Spain,Europe,41.3851,2.1734,1636000,current_96,barcelona,True,False,1,False,False,False,mainline_122,scale122
Madrid,Madrid,Spain,Europe,40.4168,-3.7038,3223000,manual_metadata,madrid,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Zurich,Zurich,Switzerland,Europe,47.3769,8.5417,421000,current_96,zurich,True,False,1,False,False,False,mainline_122,scale122
London,London,UK,Europe,51.5072,-0.1276,9648000,manual_metadata,london,False,True,1,True,True,False,mainline_122,"audited9,structural43,scale122"
Baghdad,Baghdad,Iraq,Middle East,33.3152,44.3661,7216000,current_96,baghdad,True,False,1,False,False,False,mainline_122,scale122
Kuwait City,KuwaitCity,Kuwait,Middle East,29.3759,47.9774,3052000,current_96,kuwaitcity,True,False,1,False,False,False,mainline_122,scale122
Beirut,Beirut,Lebanon,Middle East,33.8886,35.4955,361000,current_96,beirut,True,False,1,False,False,False,mainline_122,scale122
Doha,Doha,Qatar,Middle East,25.2854,51.531,641000,current_96,doha,True,False,1,False,False,False,mainline_122,scale122
Jeddah,Jeddah,Saudi Arabia,Middle East,21.4858,39.1925,4078000,current_96,jeddah,True,False,1,False,False,False,mainline_122,scale122
Riyadh,Riyadh,Saudi Arabia,Middle East,24.7136,46.6753,7676000,current_96,riyadh,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Istanbul,Istanbul,Turkey,Middle East,41.0082,28.9784,15462000,current_96,istanbul,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Abu Dhabi,AbuDhabi,UAE,Middle East,24.4539,54.3773,1483000,current_96,abudhabi,True,False,1,False,False,False,mainline_122,scale122
Dubai,Dubai,UAE,Middle East,25.2048,55.2708,3411000,candidate_expansion,dubai,False,True,1,False,True,True,mainline_122,"structural43,heldout17,scale122"
Montreal,Montreal,Canada,North America,45.5017,-73.5673,1780000,current_96,montreal,True,False,1,False,False,False,mainline_122,scale122
Toronto,Toronto,Canada,North America,43.6532,-79.3832,2930000,current_96,toronto,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Vancouver,Vancouver,Canada,North America,49.2827,-123.1207,675000,current_96,vancouver,True,True,2,False,True,False,mainline_122,"structural43,scale122"
MexicoCity,MexicoCity,Mexico,North America,19.4326,-99.1332,9209000,manual_metadata,mexicocity,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Atlanta,Atlanta,USA,North America,33.749,-84.388,498000,current_96,atlanta,True,False,1,False,False,False,mainline_122,scale122
Chicago,Chicago,USA,North America,41.8781,-87.6298,2665000,manual_metadata,chicago,False,True,1,False,True,True,mainline_122,"structural43,heldout17,scale122"
Dallas,Dallas,USA,North America,32.7767,-96.797,1304000,current_96,dallas,True,False,1,False,False,False,mainline_122,scale122
Detroit,Detroit,USA,North America,42.3314,-83.0458,670000,current_96,detroit,True,False,1,False,False,False,mainline_122,scale122
Houston,Houston,USA,North America,29.7604,-95.3698,2304000,current_96,houston,True,False,1,False,False,False,mainline_122,scale122
LosAngeles,LosAngeles,USA,North America,34.0522,-118.2437,3821000,manual_metadata,losangeles,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Miami,Miami,USA,North America,25.7617,-80.1918,467000,current_96,miami,True,False,1,False,False,False,mainline_122,scale122
NewYork,NewYork,USA,North America,40.7128,-74.006,8337000,manual_metadata,newyork,False,True,1,True,True,True,mainline_122,"audited9,structural43,heldout17,scale122"
Phoenix,Phoenix,USA,North America,33.4484,-112.074,1660000,current_96,phoenix,True,False,1,False,False,False,mainline_122,scale122
San Diego,SanDiego,USA,North America,32.7157,-117.1611,1423000,current_96,sandiego,True,False,1,False,False,False,mainline_122,scale122
Adelaide,Adelaide,Australia,Oceania,-34.9285,138.6007,1346000,current_96,adelaide,True,False,1,False,False,False,mainline_122,scale122
Perth,Perth,Australia,Oceania,-31.9505,115.8605,2125000,current_96,perth,True,False,1,False,False,False,mainline_122,scale122
Auckland,Auckland,New Zealand,Oceania,-36.8485,174.7633,1657000,current_96,auckland,True,False,1,False,False,False,mainline_122,scale122
Wellington,Wellington,New Zealand,Oceania,-41.2865,174.7762,215000,current_96,wellington,True,False,1,False,False,False,mainline_122,scale122
Buenos Aires,BuenosAires,Argentina,South America,-34.6037,-58.3816,3075000,current_96,buenosaires,True,True,2,False,True,False,mainline_122,"structural43,scale122"
La Paz,LaPaz,Bolivia,South America,-16.5,-68.15,789000,current_96,lapaz,True,False,1,False,False,False,mainline_122,scale122
Brasília,Brasília,Brazil,South America,-15.8267,-47.9218,3055000,current_96,brasília,True,False,1,False,False,False,mainline_122,scale122
Rio de Janeiro,RioDeJaneiro,Brazil,South America,-22.9068,-43.1729,6748000,candidate_expansion,riodejaneiro,False,True,1,False,True,True,mainline_122,"structural43,heldout17,scale122"
SaoPaulo,SaoPaulo,Brazil,South America,-23.5505,-46.6333,12300000,manual_metadata,saopaulo,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Santiago,Santiago,Chile,South America,-33.4489,-70.6693,5614000,candidate_expansion,santiago,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Bogota,Bogota,Colombia,South America,4.711,-74.0721,7413000,manual_metadata,bogota,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Bogotá,Bogotá,Colombia,South America,4.711,-74.0721,7413000,current_96,bogotá,True,False,1,False,False,False,mainline_122,scale122
Cali,Cali,Colombia,South America,3.4516,-76.532,2228000,current_96,cali,True,False,1,False,False,False,mainline_122,scale122
Guayaquil,Guayaquil,Ecuador,South America,-2.1709,-79.9224,2698000,current_96,guayaquil,True,False,1,False,False,False,mainline_122,scale122
Quito,Quito,Ecuador,South America,-0.1807,-78.4678,1763000,current_96,quito,True,False,1,False,False,False,mainline_122,scale122
Asunción,Asunción,Paraguay,South America,-25.2637,-57.5759,525000,current_96,asunción,True,False,1,False,False,False,mainline_122,scale122
Lima,Lima,Peru,South America,-12.0464,-77.0428,9750000,current_96,lima,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Caracas,Caracas,Venezuela,South America,10.4806,-66.9036,2935000,current_96,caracas,True,False,1,False,False,False,mainline_122,scale122
Dhaka,Dhaka,Bangladesh,South Asia,23.8103,90.4125,21006000,current_96,dhaka,True,False,1,False,False,False,mainline_122,scale122
Bangalore,Bangalore,India,South Asia,12.9716,77.5946,12765000,current_96,bangalore,True,False,1,False,False,False,mainline_122,scale122
Bengaluru,Bengaluru,India,South Asia,12.9716,77.5946,12765000,manual_metadata,bengaluru,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Chennai,Chennai,India,South Asia,13.0827,80.2707,10971000,current_96,chennai,True,False,1,False,False,False,mainline_122,scale122
Delhi,Delhi,India,South Asia,28.7041,77.1025,32900000,manual_metadata,delhi,False,True,1,False,True,True,mainline_122,"structural43,heldout17,scale122"
Hyderabad,Hyderabad,India,South Asia,17.385,78.4867,10004000,current_96,hyderabad,True,False,1,False,False,False,mainline_122,scale122
Kolkata,Kolkata,India,South Asia,22.5726,88.3639,14850000,current_96,kolkata,True,False,1,False,False,False,mainline_122,scale122
Lucknow,Lucknow,India,South Asia,26.8467,80.9462,2817000,current_96,lucknow,True,False,1,False,False,False,mainline_122,scale122
Mumbai,Mumbai,India,South Asia,19.076,72.8777,12440000,manual_metadata,mumbai,False,True,1,False,True,True,mainline_122,"structural43,heldout17,scale122"
Pune,Pune,India,South Asia,18.5204,73.8567,6629000,current_96,pune,True,False,1,False,False,False,mainline_122,scale122
Islamabad,Islamabad,Pakistan,South Asia,33.6844,73.0479,1095000,current_96,islamabad,True,False,1,False,False,False,mainline_122,scale122
Karachi,Karachi,Pakistan,South Asia,24.8607,67.0011,16094000,current_96,karachi,True,False,1,False,False,False,mainline_122,scale122
Colombo,Colombo,Sri Lanka,South Asia,6.9271,79.8612,752000,current_96,colombo,True,False,1,False,False,False,mainline_122,scale122
Phnom Penh,PhnomPenh,Cambodia,Southeast Asia,11.5564,104.9282,2281000,current_96,phnompenh,True,False,1,False,False,False,mainline_122,scale122
Jakarta,Jakarta,Indonesia,Southeast Asia,-6.2088,106.8456,10562000,current_96,jakarta,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Surabaya,Surabaya,Indonesia,Southeast Asia,-7.2575,112.7521,2874000,current_96,surabaya,True,False,1,False,False,False,mainline_122,scale122
Vientiane,Vientiane,Laos,Southeast Asia,17.9757,102.6331,820000,current_96,vientiane,True,False,1,False,False,False,mainline_122,scale122
Kuala Lumpur,KualaLumpur,Malaysia,Southeast Asia,3.139,101.6869,1768000,current_96,kualalumpur,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Yangon,Yangon,Myanmar,Southeast Asia,16.8661,96.1951,5211000,current_96,yangon,True,False,1,False,False,False,mainline_122,scale122
Manila,Manila,Philippines,Southeast Asia,14.5995,120.9842,13923000,current_96,manila,True,True,2,False,True,False,mainline_122,"structural43,scale122"
Singapore,Singapore,Singapore,Southeast Asia,1.3521,103.8198,5927000,manual_metadata,singapore,False,True,1,True,True,True,mainline_122,"audited9,structural43,heldout17,scale122"
Bangkok,Bangkok,Thailand,Southeast Asia,13.7563,100.5018,10539000,manual_metadata,bangkok,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Hanoi,Hanoi,Vietnam,Southeast Asia,21.0285,105.8542,8246000,current_96,hanoi,True,True,2,False,True,False,mainline_122,"structural43,scale122"
