city,country,legacy_city,region,population,source_kind,source_path,target_file,read_state,status,needs_redownload,roads,buildings,pois,landuse,element_count,is_audited9,is_structural43,is_heldout17
Guayaquil,Ecuador,Guayaquil,South America,2698000,reuse_96_json,not_released,data\osm_raw_122\Guayaquil_Ecuador.json,ok,realish,False,52957,44158,13232,2140,553770,False,False,False
Quito,Ecuador,Quito,South America,1763000,reuse_96_json,not_released,data\osm_raw_122\Quito_Ecuador.json,ok,realish,False,98228,166321,32543,2742,1653143,False,False,False
Asunción,Paraguay,Asunción,South America,525000,reuse_96_json,not_released,data\osm_raw_122\Asunción_Paraguay.json,ok,realish,False,62101,660270,12440,11907,4210484,False,False,False
Lima,Peru,Lima,South America,9750000,reuse_96_json,not_released,data\osm_raw_122\Lima_Peru.json,ok,realish,False,180311,138035,42677,11737,1869855,False,True,False
Caracas,Venezuela,Caracas,South America,2935000,reuse_96_json,not_released,data\osm_raw_122\Caracas_Venezuela.json,ok,realish,False,37961,42085,9137,1036,673126,False,False,False
Dhaka,Bangladesh,Dhaka,South Asia,21006000,reuse_96_json,not_released,data\osm_raw_122\Dhaka_Bangladesh.json,ok,realish,False,49785,1224827,29137,2052,6834561,False,False,False
Bangalore,India,Bangalore,South Asia,12765000,reuse_96_json,not_released,data\osm_raw_122\Bangalore_India.json,ok,realish,False,211563,772289,33348,19649,5253530,False,False,False
Bengaluru,India,Bengaluru,South Asia,12765000,legacy43_xml_bridge,not_released,data\osm_raw_122\Bengaluru_India.json,ok,realish,False,1863,9984,379,236,73384,False,True,False
Chennai,India,Chennai,South Asia,10971000,reuse_96_json,not_released,data\osm_raw_122\Chennai_India.json,ok,realish,False,97000,365035,9405,2954,2475798,False,False,False
Delhi,India,Delhi,South Asia,32900000,legacy43_xml_bridge,not_released,data\osm_raw_122\Delhi_India.json,ok,realish,False,1238,2331,93,60,25901,False,True,True
Hyderabad,India,Hyderabad,South Asia,10004000,reuse_96_json,not_released,data\osm_raw_122\Hyderabad_India.json,ok,realish,False,178605,718340,14263,2869,4672434,False,False,False
Lucknow,India,Lucknow,South Asia,2817000,reuse_96_json,not_released,data\osm_raw_122\Lucknow_India.json,ok,realish,False,55378,9262,1570,1029,385850,False,False,False
Mumbai,India,Mumbai,South Asia,12440000,legacy43_xml_bridge,not_released,data\osm_raw_122\Mumbai_India.json,ok,realish,False,81,98,5,25,5821,False,True,True
Pune,India,Pune,South Asia,6629000,reuse_96_json,not_released,data\osm_raw_122\Pune_India.json,ok,realish,False,96269,277749,9061,3436,2315219,False,False,False
Islamabad,Pakistan,Islamabad,South Asia,1095000,reuse_96_json,not_released,data\osm_raw_122\Islamabad_Pakistan.json,ok,realish,False,68127,18401,4786,1535,615304,False,False,False
Karachi,Pakistan,Karachi,South Asia,16094000,reuse_96_json,not_released,data\osm_raw_122\Karachi_Pakistan.json,ok,realish,False,79728,108881,32703,3290,1057641,False,False,False
Colombo,Sri Lanka,Colombo,South Asia,752000,reuse_96_json,not_released,data\osm_raw_122\Colombo_Sri_Lanka.json,ok,realish,False,52417,420016,12537,2688,2751348,False,False,False
Phnom Penh,Cambodia,PhnomPenh,Southeast Asia,2281000,reuse_96_json,not_released,data\osm_raw_122\Phnom_Penh_Cambodia.json,ok,realish,False,54002,74466,7910,1532,729564,False,False,False
Jakarta,Indonesia,Jakarta,Southeast Asia,10562000,reuse_96_json,not_released,data\osm_raw_122\Jakarta_Indonesia.json,ok,realish,False,356522,2297923,31259,8571,13485726,False,True,False
Surabaya,Indonesia,Surabaya,Southeast Asia,2874000,reuse_96_json,not_released,data\osm_raw_122\Surabaya_Indonesia.json,ok,realish,False,105044,1110169,6746,2050,6145984,False,False,False
Vientiane,Laos,Vientiane,Southeast Asia,820000,reuse_96_json,not_released,data\osm_raw_122\Vientiane_Laos.json,ok,realish,False,32452,23435,4629,1877,408830,False,False,False
Kuala Lumpur,Malaysia,KualaLumpur,Southeast Asia,1768000,reuse_96_json,not_released,data\osm_raw_122\Kuala_Lumpur_Malaysia.json,ok,realish,False,222224,541425,29029,9884,3638094,False,True,False
Yangon,Myanmar,Yangon,Southeast Asia,5211000,reuse_96_json,not_released,data\osm_raw_122\Yangon_Myanmar.json,ok,realish,False,47061,107151,12193,2635,809712,False,False,False
Manila,Philippines,Manila,Southeast Asia,13923000,legacy43_xml_bridge,not_released,data\osm_raw_122\Manila_Philippines.json,ok,realish,False,1377,10526,395,107,69692,False,True,False
Singapore,Singapore,Singapore,Southeast Asia,5927000,legacy43_xml_bridge,not_released,data\osm_raw_122\Singapore_Singapore.json,ok,realish,False,1462,640,89,104,25651,True,True,True
Bangkok,Thailand,Bangkok,Southeast Asia,10539000,legacy43_xml_bridge,not_released,data\osm_raw_122\Bangkok_Thailand.json,ok,realish,False,1623,1635,154,137,27116,False,True,False
Hanoi,Vietnam,Hanoi,Southeast Asia,8246000,reuse_96_json,not_released,data\osm_raw_122\Hanoi_Vietnam.json,ok,realish,False,153573,173247,15728,7578,1819240,False,True,False
